Finished,IMC,atn_interested,atn_hostile,atn_distracted,atn_nervous,atn_enthusiastic,atn_determined,atn_excited,atn_proud,atn_upset,atn_irritable,atn_strong,atn_paperclip,atn_alert,atn_active,atn_guilty,atn_ashamed,atn_afraid,careful_check,female_clear,male_clear,female_med,female_dark,male_med,male_dark,time_firstclick,time_lastclick,time_submit,ad_describe,adrate_bad,adrate_unfavorable,adrate_lowqual,adrate_negative,adrate_unattract,adrate_useless,adrate_awful,adrate_notapprop,adrate_ineffective,adrate_unconvinc,product_unsatisfac,product_lowqual,product_bad,product_dislike,product_awful,product_negative,product_unfavorable,product_common,product_useless,product_worthless,product_notunique,product_inexpensive,model_competent,model_pushy,model_genuine,model_professional,model_credible,model_fake,model_follower,model_sincere,model_moral,model_assertive,model_charm,model_suspicious,model_peaceful,model_calm,model_subordinate,model_knowledgeable,model_sociable,model_trustworthy,model_honest,model_friendly,model_reliable,model_manipulative,model_experienced,model_respectful,model_phony,model_familiar,model_nosecret,model_mysterious,model_known,model_natural,model_notweird,model_clear,model_attract,model_classy,model_sexy,model_beautiful,model_elegant,model_warm,Q13,recommend,wtb,value_assess,ads_trust,ads_goalinform,ads_informative,ads_truthful,ads_reliablesource,ads_truepicture,ads_accuratelyinformedby,ads_essentialinfo,p_glasses,p_shade,p_pupilvis,gender,age,home_lang,english_length_nohome,wear_glasses,employment,annual_income,education,p_hypoth,Q42
1,,,,,,,,,,,,,1,,,,,,1,1,,,,,,0,0,11.15,I thought the girl is good looking and it is a good set up for the house,1,5,2,4,2,6,4,5,5,1,2,2,5,3,2,7,3,3,5,6,7,2,3,5,1,5,2,4,7,2,4,2,6,5,3,1,4,7,5,3,5,4,1,7,4,6,5,5,1,3,6,5,1,5,5,6,5,6,7,5,1,5,2,400,2,4,2,5,2,4,1,4,1,1,3,1,34,English,,2,1,3,4,to see what people think about advertisements,1
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,1,,,,1,,,0,0,118.106,"Furniture store ad featuring an outdoor set made of wicker and with grey cushions. It was advertised as a comfortable set, perfect for entertaining. The ad was also featuring a girl with a checkered shirt and sunglasses with the statement that this was her choice because it was the right choice.",6,4,5,2,6,5,5,1,7,6,4,3,3,5,4,3,3,6,4,6,6,5,2,4,2,2,2,6,6,4,4,5,2,4,5,7,4,2,6,4,4,6,4,4,2,7,4,4,4,4,2,2,2,2,4,2,4,6,2,5,1,2,7,200,3,2,2,3,3,3,3,3,1,5,5,2,39,English,,1,1,5,6,"Assessing the effectiveness of the advertisement, how much attention people pay to the ad as well as the effect the girl featured in the ad has on the overall impression. ",1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,1,,,,,,1,,1,,,,,0,0,7.607,,3,3,5,1,3,7,6,4,2,3,1,6,3,2,6,5,1,2,7,5,3,4,2,7,4,2,3,6,5,1,2,5,4,2,6,4,2,6,6,3,4,6,6,2,1,4,7,5,2,7,4,3,5,7,2,6,4,7,5,3,1,5,7,500,4,2,3,5,3,2,4,5,1,1,5,2,28,English,,2,1,4,5,,1
1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
