"","gender","age","home_lang","english_length_nohome","wear_glasses","employment","annual_income","education","male_model","shade","clear_shade","med_shade","dark_shade","p_glasses","p_shade","p_pupilvis","ads_trust","ads_goalinform","ads_informative","ads_truthful","ads_reliablesource","ads_truepicture","ads_accuratelyinformedby","ads_essentialinfo","recommend","wtb","value_assess","model_familiar","model_nosecret","model_mysterious","model_known","model_natural","model_notweird","model_clear","model_attract","model_classy","model_sexy","model_beautiful","model_elegant","model_warm","product_unsatisfac","product_lowqual","product_bad","product_dislike","product_awful","product_negative","product_unfavorable","product_common","product_useless","product_worthless","product_notunique","product_inexpensive","ad_describe","adrate_bad","adrate_unfavorable","adrate_lowqual","adrate_negative","adrate_unattract","adrate_useless","adrate_awful","adrate_notapprop","adrate_ineffective","adrate_unconvinc","female_clear","male_clear","female_med","female_dark","male_med","male_dark","value_assess_num","phony","approachable","expertise"
"1",1,34,"English","",2,1,3,4,0,0,1,0,0,1,1,3,2,4,2,5,2,4,1,4,5,2,"400",5,1,3,6,5,1,5,5,6,5,6,7,5,2,2,5,3,2,7,3,3,5,6,7,2,"I thought the girl is good looking and it is a good set up for the house",1,5,2,4,2,6,4,5,5,1,1,0,0,0,0,0,400,0.683530469813192,-1.46482692096181,0.171022460845627
"2",2,39,"English","",1,1,5,6,0,2,0,0,1,1,5,5,3,2,2,3,3,3,3,3,2,7,"200",4,4,4,2,2,2,2,4,2,4,6,2,5,4,3,3,5,4,3,3,6,4,6,6,5,"Furniture store ad featuring an outdoor set made of wicker and with grey cushions. It was advertised as a comfortable set, perfect for entertaining. The ad was also featuring a girl with a checkered shirt and sunglasses with the statement that this was her choice because it was the right choice.",6,4,5,2,6,5,5,1,7,6,0,0,0,1,0,0,200,0.602431511348613,0.618830740581762,-1.62353821817169
"3",1,28,"english","25",1,1,4,6,0,0,1,0,0,1,2,4,2,2,2,3,2,2,2,2,6,4,"400",5,7,1,4,6,7,5,6,6,4,5,5,4,3,4,4,3,3,3,3,3,3,3,4,4,"It's a pretty eye-catching ad, but I think it should be a bit more colorful perhaps to better capture the vision of people",2,2,4,3,3,4,3,3,4,3,1,0,0,0,0,0,400,-0.515136519031224,-0.174561973307069,0.532655469909839
"4",2,51,"English","",1,1,3,5,1,1,0,1,0,1,4,5,3,3,2,3,3,4,3,4,4,3,"200",5,4,2,4,5,5,5,5,3,1,4,2,6,2,3,2,2,2,2,2,3,2,2,3,3,"The guy looks like a young urbanite. His tagline seems a little confusing and could apply to any product ad whatsoever. The picture of the product looks alright but the middle fence cutout behind the main couch looks a little weird against a white background. The description of the product is good.",3,3,3,3,3,3,3,4,3,4,0,0,0,0,1,0,200,0.0204060402135073,-0.0623131433348586,-0.319326180605977
"5",2,63,"English","life",1,5,5,5,1,2,0,0,1,1,5,5,4,2,2,3,3,5,3,3,6,3,"1200",5,3,5,4,5,6,3,4,3,3,3,2,5,1,2,1,1,1,2,2,3,1,3,4,3,"young man advertising all weather wicker furniture, looks nice and comfortable",2,2,2,1,2,1,2,1,2,2,0,0,0,0,0,1,1200,-0.856801379754252,0.407118915074309,-0.0551202388582876
"6",1,41,"en","",2,2,3,4,0,2,0,0,1,1,5,4,5,4,4,5,4,5,5,4,2,1,"200",3,4,3,4,2,4,3,4,3,3,5,3,4,6,5,4,6,5,5,5,6,5,5,6,4,"patio set, one double chair, two single chairs. A tea set for two on the table. Surrounded by a garden fence. A woman in the front with a text stating it is the right choice, because it is my choice",4,4,5,4,5,6,5,4,6,6,0,0,0,1,0,0,200,0.958007550180146,-0.983889367265528,-0.983194944618716
"7",2,28,"English","",1,1,3,5,0,1,0,1,0,1,5,5,5,5,5,5,5,5,5,5,3,6,"399",3,3,1,3,1,3,2,4,4,1,4,3,2,4,4,4,3,3,4,4,7,3,4,6,4,"A female in plaid recommending a wicker patio set with cushions, saying it's stylish and comfortable. ",5,5,6,4,6,6,6,4,6,7,0,0,1,0,0,0,399,2.35642475122081,-1.38834326700939,-2.29226259622408
"8",2,42,"English","since birth",1,2,6,6,1,1,0,1,0,1,5,4,4,2,3,3,4,3,4,2,5,3,"300",2,1,6,1,2,2,1,3,1,1,2,1,1,2,4,3,2,2,2,2,4,3,6,4,4,"I saw an advertisement for outdoor wicker furniture with cushions with the setting being outside on a a patio along with a tea set on the matching table.  There was a man in sunglasses who appeared to give a positive statement about the company.",2,2,4,1,3,2,1,2,2,2,0,0,0,0,1,0,300,1.41245365258349,-1.00201859900319,-0.126049135334044
"9",2,24,"English","",1,1,4,3,1,0,1,0,0,1,1,3,4,3,2,3,3,5,5,5,4,7,"149",3,4,1,4,4,3,4,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,"A boy in a red plaid shirt stands at the fore of the ad, above his head is text that reads something along the lines of, ""It's my choice because it's the right choice."" Behind him is a set of wicker patio furniture with plush cushions. Below the furniture, and to the left of the boy's torso is text describing the comfort of the furniture. /  / In my opinion, the furniture is playing second fiddle to the boy in the ad. The viewer's focus is on him, due to his placement at the forefront of the image and his bright red shirt. The furniture, meanwhile, plays a neutral background. If one didn't read the text of the image, they probably wouldn't realize it was an ad for patio furniture.",7,6,5,4,5,6,4,2,7,7,0,1,0,0,0,0,149,0.393360280182254,-0.0998309641803665,-1.40924980224125
"10",2,41,"Cantonese & English","41",1,1,5,5,0,2,0,0,1,1,5,4,4,2,3,3,4,4,4,4,1,7,"200",1,1,7,1,2,2,1,4,2,2,5,2,5,3,3,3,4,3,3,3,7,1,3,6,5,"The female model wearing sunglasses though in agreement with the outdoor furniture set yet looking rather odd in the ad.  Seems like there's something to hide.",3,3,4,4,4,5,4,3,5,4,0,0,0,1,0,0,200,1.83310330695202,-0.925582185165533,-2.20945880142281
"11",1,50,"English","",2,7,3,3,0,0,1,0,0,1,3,3,4,4,3,4,4,4,4,3,1,1,"350",5,6,1,1,7,7,4,6,5,5,5,5,4,4,4,4,4,4,4,4,3,3,5,5,4,"A woman declaring that she made the right choice in outdoor wicker furniture, that can be used all winter.",4,4,4,3,4,3,4,1,5,5,1,0,0,0,0,0,350,0.843333095905292,-0.919313052239417,-0.43276491540942
"12",2,26,"English","Bilingual since birth",1,7,1,5,1,2,0,0,1,1,1,3,4,4,3,5,5,5,4,2,5,3,"350",6,6,2,5,5,6,5,5,5,4,5,3,6,2,3,2,3,3,3,3,7,2,3,6,3,"An ad for patio furniture, with a confident-looking man who has potentially picked out this furniture. I thought the text in the ad was awkward. The description of the furniture was adequate, but the sentence was clumsy. The quote of it being the right choice because it's his choice is odd -- I don't understand what it's supposed to convey. ",4,5,5,3,5,5,4,3,7,7,0,0,0,0,0,1,350,0.0917851196378759,-0.356358802032779,0.0612794812263331
"13",2,39,"english","n/a",1,4,4,2,0,2,0,0,1,1,5,4,3,2,2,2,3,3,3,3,5,2,"249",2,3,5,2,1,2,2,4,2,2,4,1,4,2,3,2,2,2,3,3,4,2,4,5,4,"woman standing in the foreground, wearing a red/black plaid shirt and black sunglasses. she has straight brown hair. her arms are crossed over and she's smiling. in the background in a wicker patio set. a chair and a 2 seater. grey/silver in colour. there's also a coffee type table with a white tea set. underneath is lettering or wording describing the product and there's a larger catch phrase above the image in larger letters. there's a quote to the right of the lady standing, do not recall the wording though. my thoughts are - i like the furniture but for  the life of me, the woman in the ad is completley out of place. i don't understand why she's there, or the point of having her there. wearing sunglasses, hiding her face - doesn't fit with trying to sell outdoor furninture",4,4,4,3,3,3,4,4,5,5,0,0,0,1,0,0,249,0.572927359050138,-0.362434571963568,-0.833849109111363
"14",2,33,"English","",2,2,2,5,1,1,0,1,0,1,4,3,3,4,4,4,4,3,4,3,5,3,"300",3,6,2,4,5,3,7,2,2,1,2,2,2,3,4,1,1,1,2,2,2,1,4,4,4,"The furniture looks stylish and comfortable.  Not a fan of the person in the ad though.",2,4,3,2,3,3,2,2,4,4,0,0,0,0,1,0,300,0.218901934611946,0.410297154623956,-0.545669311334867
"15",2,25,"English","",1,3,3,2,0,0,1,0,0,1,2,4,3,2,2,3,3,3,3,3,5,3,"300",4,4,4,2,5,6,4,5,6,5,6,4,6,2,3,2,2,2,2,2,2,2,2,2,4,"Wicker couch set. Girl with glasses and plaid shirt.",2,2,3,2,3,3,3,2,3,3,1,0,0,0,0,0,300,-0.532505087587568,0.46624686951463,0.381520349160034
"16",2,29,"english","",2,1,4,5,1,0,1,0,0,1,1,3,2,1,1,3,3,4,2,2,5,3,"439",4,4,1,4,6,7,5,4,5,3,4,5,5,3,3,3,2,2,3,3,4,3,3,4,4,"this ad is about stylish couch set which is all weather with plain pillows and seating.it is durable. this ad is pretty good.",3,3,3,3,3,3,2,3,3,3,0,1,0,0,0,0,439,-1.07421149796971,-0.166778080970188,-0.028790821687673
"17",2,57,"English","",2,4,1,4,1,1,0,1,0,2,3,5,4,3,3,4,4,3,4,2,5,2,"650",4,6,2,4,5,5,7,4,2,3,2,2,3,2,2,2,3,3,2,2,3,1,3,3,2,"I saw a man in a plaid shirt standing in the foreground of the picture. He was smiling and had his arms folded. He detracted from the ad itself as it was as if the ad was about him and not the furniture that was being advertised. The ad was actually for wicker furniture. The furniture advert was for comfortable wicker furniture with deep seat and durable cushions good for entertaining. Although the ad was for furniture the furniture was not the focal point of the ad.",5,4,2,2,4,5,4,3,7,4,0,0,0,0,1,0,650,0.687463704947352,-1.44929397441742,-0.113921477896993
"18",2,56,"english","",1,1,4,2,0,1,0,1,0,1,4,3,2,2,1,2,1,1,1,1,7,1,"400",6,7,1,2,6,7,7,6,6,6,6,5,6,1,1,1,1,1,1,1,1,1,1,1,2,"the ad was about a wicker patio set that is very comfortable.it came with a couch and chair with cushions.its the ladies only chose",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,400,-1.87264433261384,1.34457023989988,1.49404449743807
"19",1,51,"English","",2,1,4,5,0,0,1,0,0,1,2,1,1,1,1,2,2,1,2,2,7,2,"900",6,5,3,7,7,4,7,7,7,7,7,7,7,3,2,2,3,2,2,2,3,2,2,2,2,"Stylish furniture.Doesn't show the brand.Just was described how is good to have stylish furniture.",3,3,3,2,1,3,2,2,2,2,1,0,0,0,0,0,900,-0.591032604856652,1.34973606166175,2.00176174840862
